지점,지점명,일시,일강수량(mm)
410,기상청,2013-01-01,1.5
410,기상청,2013-01-02,0
410,기상청,2013-01-03,0
410,기상청,2013-01-04,0
410,기상청,2013-01-05,0
410,기상청,2013-01-06,0
410,기상청,2013-01-07,0
410,기상청,2013-01-08,0
410,기상청,2013-01-09,0
410,기상청,2013-01-10,0
410,기상청,2013-01-11,0
410,기상청,2013-01-12,0.5
410,기상청,2013-01-13,0
410,기상청,2013-01-14,0
410,기상청,2013-01-15,0
410,기상청,2013-01-16,0
410,기상청,2013-01-17,0
410,기상청,2013-01-18,0
410,기상청,2013-01-19,0
410,기상청,2013-01-20,0
410,기상청,2013-01-21,20.5
410,기상청,2013-01-22,0
410,기상청,2013-01-23,1.5
410,기상청,2013-01-24,0
410,기상청,2013-01-25,0
410,기상청,2013-01-26,0
410,기상청,2013-01-27,0
410,기상청,2013-01-28,0
410,기상청,2013-01-29,0
410,기상청,2013-01-30,0
410,기상청,2013-01-31,0
410,기상청,2013-02-01,44.5
410,기상청,2013-02-02,0
410,기상청,2013-02-03,5.5
410,기상청,2013-02-04,8.5
410,기상청,2013-02-05,5.5
410,기상청,2013-02-06,2
410,기상청,2013-02-07,0
410,기상청,2013-02-08,0
410,기상청,2013-02-09,0
410,기상청,2013-02-10,0
410,기상청,2013-02-11,0
410,기상청,2013-02-12,0
410,기상청,2013-02-13,0
410,기상청,2013-02-14,0
410,기상청,2013-02-15,0
410,기상청,2013-02-16,0
410,기상청,2013-02-17,0
410,기상청,2013-02-18,0
410,기상청,2013-02-19,0
410,기상청,2013-02-20,0
410,기상청,2013-02-21,0
410,기상청,2013-02-22,0.5
410,기상청,2013-02-23,0
410,기상청,2013-02-24,0
410,기상청,2013-02-25,0
410,기상청,2013-02-26,0
410,기상청,2013-02-27,0
410,기상청,2013-02-28,0.5
410,기상청,2013-03-01,4
410,기상청,2013-03-02,0
410,기상청,2013-03-03,0
410,기상청,2013-03-04,0
410,기상청,2013-03-05,0
410,기상청,2013-03-06,0
410,기상청,2013-03-07,1
410,기상청,2013-03-08,0
410,기상청,2013-03-09,0
410,기상청,2013-03-10,0
410,기상청,2013-03-11,0
410,기상청,2013-03-12,4
410,기상청,2013-03-13,14
410,기상청,2013-03-14,0
410,기상청,2013-03-15,0
410,기상청,2013-03-16,0
410,기상청,2013-03-17,9
410,기상청,2013-03-18,1
410,기상청,2013-03-19,0
410,기상청,2013-03-20,0
410,기상청,2013-03-21,0
410,기상청,2013-03-22,0
410,기상청,2013-03-23,0
410,기상청,2013-03-24,0
410,기상청,2013-03-25,0
410,기상청,2013-03-26,0
410,기상청,2013-03-27,0
410,기상청,2013-03-28,0
410,기상청,2013-03-29,0
410,기상청,2013-03-30,0.5
410,기상청,2013-03-31,0
410,기상청,2013-04-01,0
410,기상청,2013-04-02,10.5
410,기상청,2013-04-03,0
410,기상청,2013-04-04,0
410,기상청,2013-04-05,0
410,기상청,2013-04-06,17
410,기상청,2013-04-07,0.5
410,기상청,2013-04-08,1
410,기상청,2013-04-09,0
410,기상청,2013-04-10,0
410,기상청,2013-04-11,0
410,기상청,2013-04-12,0
410,기상청,2013-04-13,0
410,기상청,2013-04-14,3.5
410,기상청,2013-04-15,0
410,기상청,2013-04-16,0
410,기상청,2013-04-17,0
410,기상청,2013-04-18,0
410,기상청,2013-04-19,0
410,기상청,2013-04-20,10.5
410,기상청,2013-04-21,0
410,기상청,2013-04-22,0
410,기상청,2013-04-23,7
410,기상청,2013-04-24,0
410,기상청,2013-04-25,4.5
410,기상청,2013-04-26,0
410,기상청,2013-04-27,0
410,기상청,2013-04-28,0
410,기상청,2013-04-29,18.5
410,기상청,2013-04-30,0
410,기상청,2013-05-01,0
410,기상청,2013-05-02,0
410,기상청,2013-05-03,0
410,기상청,2013-05-04,0
410,기상청,2013-05-05,0
410,기상청,2013-05-06,0
410,기상청,2013-05-07,0
410,기상청,2013-05-08,0
410,기상청,2013-05-09,3.5
410,기상청,2013-05-10,17
410,기상청,2013-05-11,0
410,기상청,2013-05-12,0.5
410,기상청,2013-05-13,0
410,기상청,2013-05-14,0
410,기상청,2013-05-15,0
410,기상청,2013-05-16,0
410,기상청,2013-05-17,0
410,기상청,2013-05-18,14
410,기상청,2013-05-19,20.5
410,기상청,2013-05-20,0
410,기상청,2013-05-21,0
410,기상청,2013-05-22,0
410,기상청,2013-05-23,0
410,기상청,2013-05-24,0
410,기상청,2013-05-25,0
410,기상청,2013-05-26,0
410,기상청,2013-05-27,48.5
410,기상청,2013-05-28,5.5
410,기상청,2013-05-29,2
410,기상청,2013-05-30,0
410,기상청,2013-05-31,0
410,기상청,2013-06-01,0
410,기상청,2013-06-02,0
410,기상청,2013-06-03,0
410,기상청,2013-06-04,0
410,기상청,2013-06-05,0
410,기상청,2013-06-06,0
410,기상청,2013-06-07,0
410,기상청,2013-06-08,0
410,기상청,2013-06-09,0
410,기상청,2013-06-10,0
410,기상청,2013-06-11,2.5
410,기상청,2013-06-12,4
410,기상청,2013-06-13,0
410,기상청,2013-06-14,0
410,기상청,2013-06-15,0
410,기상청,2013-06-16,0
410,기상청,2013-06-17,0
410,기상청,2013-06-18,22.5
410,기상청,2013-06-19,0
410,기상청,2013-06-20,0
410,기상청,2013-06-21,0
410,기상청,2013-06-22,0
410,기상청,2013-06-23,0
410,기상청,2013-06-24,0
410,기상청,2013-06-25,0
410,기상청,2013-06-26,0
410,기상청,2013-06-27,0
410,기상청,2013-06-28,1
410,기상청,2013-06-29,0
410,기상청,2013-06-30,0
410,기상청,2013-07-01,0
410,기상청,2013-07-02,47.5
410,기상청,2013-07-03,0
410,기상청,2013-07-04,17.5
410,기상청,2013-07-05,1.5
410,기상청,2013-07-06,0
410,기상청,2013-07-07,3.5
410,기상청,2013-07-08,55
410,기상청,2013-07-09,8.5
410,기상청,2013-07-10,2.5
410,기상청,2013-07-11,19
410,기상청,2013-07-12,21.5
410,기상청,2013-07-13,176
410,기상청,2013-07-14,12
410,기상청,2013-07-15,7.5
410,기상청,2013-07-16,0
410,기상청,2013-07-17,25
410,기상청,2013-07-18,5
410,기상청,2013-07-19,0
410,기상청,2013-07-20,0
410,기상청,2013-07-21,1
410,기상청,2013-07-22,90.5
410,기상청,2013-07-23,37
410,기상청,2013-07-24,5.5
410,기상청,2013-07-25,0
